Código Classe Produto|Classe do Produto|Código|Nome Produto|Un.
APR|APARELHOS|APR01|DISPENSER C/ AUTOMAÇÃO|UN
APR|APARELHOS|APRI103001|CONJUGADO Á BATERIA GT-ONE|UN
APR|APARELHOS|APRI103002|CONJUGADO Á BATERIA OR-T 250|UN
APR|APARELHOS|APRI103003|CONJUGADO Á BATERIA ZAPAK92|UN
APR|APARELHOS|APRI103004|CONJUGADO Á BATERIA ZAPAK96|UN
APR|APARELHOS|APRI203007|CONJUGADO PNEUMÁTICO HT-16|UN
APR|APARELHOS|APRI303005|CONJUGADO ELÉTRICO ZAPAK2012|UN
APR|APARELHOS|APRI503009|ESTICADOR PET/PP P320|UN
APR|APARELHOS|APRI503010|ESTICADOR PET/PP P330|UN
APR|APARELHOS|APRI502011|ESTICADOR PET P380|UN
APR|APARELHOS|APRI504012|ESTICADOR CONJUGADO AÇO VR|UN
APR|APARELHOS|APRI501013|SELADOR PP 13 MM|UN
APR|APARELHOS|APRI501014|SELADOR PP 16 MM|UN
APR|APARELHOS|APRI501015|SELADOR PP 16 MM H36|UN
APR|APARELHOS|APRI502013|SELADOR PET 13 MM|UN
APR|APARELHOS|APRI502014|SELADOR PET 16 MM|UN
APR|APARELHOS|APRI502016|SELADOR PET 19 MM|UN
APR|APARELHOS|APRI506017|APLICADOR STRETCH W110|UN
APR|APARELHOS|APRI506018|APLICADOR STRETCH W560|UN
APR|APARELHOS|APRI507019|APLICADOR ADESIVA 50 MM T290|UN
APR|APARELHOS|APRI507020|APLICADOR ADESIVA 70 MM T520|UN
APR|APARELHOS|APRI507021|SUPORTE ADESIVA T9230|UN
APR|APARELHOS|APRI507022|SUPORTE ADESIVA T9260|UN
APR|APARELHOS|APRI507023|SUPORTE ADESIVA T9643|UN
APR|APARELHOS|APRI805026|APARELHO THR-2010|UN
APR|APARELHOS|APRI503029|DESENROLADOR THR SUPER|UN
APR|APARELHOS|APRI608030|GRAMPEADOR PNEUMÁTICO PEDAL|UN
APR|APARELHOS|APRI608031|GRAMPEADOR PNEUMÁTICO MANUAL|UN
APR|APARELHOS|APRI708030|GRAMPEADOR MECÂNICO PEDAL|UN
APR|APARELHOS|APRI708031|GRAMPEADOR MECÂNICO MANUAL|UN
APR|APARELHOS|APRN401008|CONJUGADO MANUAL CP|UN
APR|APARELHOS|APRN505024|APARELHO TOBOGÃ|UN
APR|APARELHOS|APRN505025|APARELHO CANOA|UN
APR|APARELHOS|APRN503027|DESENROLADOR THR-30|UN
APR|APARELHOS|APRN503028|DESENROLADOR THR-60|UN
APR|APARELHOS|APRI502032|SELADOR PP 16MM H-34|UN
APR|APARELHOS|APRI401033|CONJUGADO MANUAL CP 13 MM|UN
APR|APARELHOS|APRI401034|CONJUGADO MANUAL CP 16 MM|UN
APR|APARELHOS|APRI103032|CONJUGADO Á BATERIA GT-ONE SMART|UN
APR|APARELHOS|APRN704001|SELADOR MEC TZ-AÇO 19MM|UN
APR|APARELHOS|APRI203036|CONJUGADO PNEUMÁTICO THR-34X|UN
APR|APARELHOS|APRN702037|SELADOR MEC TZ-PET 19MM|UN
APR|APARELHOS|APRI507038|LACRE ADESIVA T916|UN
APR|APARELHOS|APRI507039|LACRE ADESIVA T917|UN
APR|APARELHOS|APRN704040|SELADOR MEC TZ-AÇO 25MM|UN
APR|APARELHOS|APRI502015|SELADOR PET 16 MM H-36|UN
APR|APARELHOS|APRI103041|CONJUGADO Á BATERIA FROMM P326|UN
APR|APARELHOS|APRI103042|CONJUGADO Á BATERIA ZAPAK 28|UN
APR|APARELHOS|APRI103043|CONJUGADO Á BATERIA OMS|UN
APR|APARELHOS|APRN805044|APARELHO UNI-99|UN
APR|APARELHOS|APRI103045|CONJUGADO Á BATERIA ITA-20|UN
APR|APARELHOS|APRN504046|DESENROLADOR P/ FITA DE AÇO 19MM|UN
APR|APARELHOS|APRI103047|CONJUGADO Á BATERIA ZAPAK26|UN
APR|APARELHOS|APRN702048|SELADOR MEC TZ-PET 25MM|UN
APR|APARELHOS|APRN702049|ESTICADOR MEC TR-PET 25MM|UN
APR|APARELHOS|APRN404050|CONJUGADO P/FITA DE AÇO T-2 N|UN
APR|APARELHOS|APRI103051|CONJUGADO Á BATERIA GT-ONE 19MM|UN
APR|APARELHOS|APRI805090|CONJUGADO A BATERIA Q31|UN
APR|APARELHOS|APRI503054|ESTICADOR PET/PP THR-23-13/16/19MM|UN
APR|APARELHOS|APRI905053|APARELHO THR-800A|UN
APR|APARELHOS|APRI805052|APARELHO THR-800|UN
APR|APARELHOS|APRI507093|APLICADOR DE FITA P/ DEMARCAÇÃO DE SOLO-TA100|PC
APR|APARELHOS|APRI503055|SELADOR PET THR-36-12/13MM|UN
APR|APARELHOS|APRN707094|ESTICADOR MEC TR-AÇO 19MM|UN
APR|APARELHOS|APRI503056|SELADOR PET THR-36 -15/16MM|UN
APR|APARELHOS|APRI506073|APLICADOR STRETCH SF-773|PC
APR|APARELHOS|MAQI205041|DISPENSER P/ AIR PAD|UN
APR|APARELHOS|MAQN205041|DISPENSER P/ AIR PAD|UN
APR|APARELHOS|APRI506074|APLICADOR STRETCH SF-756|PC
APR|APARELHOS|APRI507057|APLICADOR FITA ADESIVA 50MM EC-275|UN
APR|APARELHOS|APRI506065|APLICADOR STRETCH CORELESS SF-77421|UN
APR|APARELHOS|APRI506075|APLICADOR STRETCH HC-93111|PC
APR|APARELHOS|APRI506058|APLICADOR STRETCH SF-773 NÃO USAR|UN
APR|APARELHOS|APRI506059|APLICADOR STRETCH SF-756 NÃO USAR|UN
APR|APARELHOS|APRI506080|APLICADOR STRETCH SF-77421|PC
APR|APARELHOS|APRI506060|CORTADOR STRETCH HC-93111|UN
APR|APARELHOS|APRI507061|DISPENSADOR DE MESA P/ ADESIVA ET-63371|UN
APR|APARELHOS|APRI506084|APLICADOR STRETCH SF-752|PC
APR|APARELHOS|APRI507062|DISPENSADOR DE MESA P/ ADESIVA ET-13371|UN
APR|APARELHOS|APRI507063|APLICADOR FITA ADESIVA 50MM EC-233|UN
APR|APARELHOS|APRI507072|APLICADOR ADESIVA 50MM EC-275|PC
APR|APARELHOS|APRI507064|DISPENSADOR MANUAL P/ ADESIVA ET-267 não usar|UN
APR|APARELHOS|APRI507066|APLICADOR FITA ADESIVA EC-326|UN
APR|APARELHOS|APRI507076|DISPENSADOR MESA P/ ADESIVA ET-63371|PC
APR|APARELHOS|APRI507067|APLICADOR FITA ADESIVA ET-0050|UN
APR|APARELHOS|APRI507077|DISPENSADOR MESA P/ ADESIVA ET-13371|PC
APR|APARELHOS|APRI507068|APLICADOR FITA ADESIVA ET-0038|UN
APR|APARELHOS|APRI506069|APLICADOR STRETCH SF-752 NÃO USAR|UN
APR|APARELHOS|APRI507070|APLICADOR FITA ADESIVA ET-366|UN
APR|APARELHOS|APRI507078|APLICADOR ADESIVA 50MM EC-233|PC
APR|APARELHOS|APRI507071|SUPORTE DA CAIXA HP-237|UN
APR|APARELHOS|APRI507079|DISPENSADOR MANUAL P/ ADESIVA ET-267|PC
APR|APARELHOS|APRI507081|APLICADOR ADESIVA EC-236|PC
APR|APARELHOS|APRI507082|APLICADOR ADESIVA ET-0050|PC
APR|APARELHOS|APRI507083|APLICADOR ADESIVA ET-0038|PC
APR|APARELHOS|APRI507085|APLICADOR ADESIVA ET-366|PC
APR|APARELHOS|APRI507086|SUPORTE CAIXA HP-237|PC
APR|APARELHOS|APRN504087|TESOURA MANUAL P/ FITA DE AÇO TC-THR NAC|UN
APR|APARELHOS|APRN103088|CONJUGADO À BATERIA BXT2-19 NAC|UN
APR|APARELHOS|APRI504087|TESOURA MANUAL P/ FITA DE AÇO TC|UN
APR|APARELHOS|APRI805089|APARELHO THR-2010A|UN
APR|APARELHOS|APRN805089|APARELHO THR-2010A|UN
APR|APARELHOS|APRN103091|CONJUGADO Á BATERIA THR 13/16|UN
APR|APARELHOS|APRN704090|ESTICADOR MEC TR-AÇO 25MM|UN
APR|APARELHOS|APRI103091|CONJUGADO Á BATERIA CHT-400 19MM|UN
APR|APARELHOS|APRI507087|APLICADOR FITA ADESIVA 70MM E-326|PC
APR|APARELHOS|APRI507088|APLICADOR DE FITA ADESIVA SF-77331|PC
APR|APARELHOS|APRI507089|APLICADOR DE FITA ADESIVA SF-77621|PC
APR|APARELHOS|APRI507090|APLICADOR DE FITA ADESIVA SF-2781E|PC
APR|APARELHOS|APRI507091|SUPORTE DE CAIXA T-03|PC
APR|APARELHOS|APRI103092|CONJUGADO Á BATERIA CHT-400 19MM (AMBEV)|UN
APR|APARELHOS|APRN604092|SELADOR PNEUMÁTICO TV9 - AÇO - 19/25/33MM|UN
APR|APARELHOS|APRN604093|ESTICADOR PNEUMÁTICO TN6 - AÇO - 19/25/33MM|UN
APR|APARELHOS|APRN506017|APLICADOR STRETCH W110 N|UN
APR|APARELHOS|APRI507092|DISPENSADOR DE MESA P/ ADESIVA EX-112BK|PC
APR|APARELHOS|APRI506085|APLICADOR FITA MS-169EXC|PC
APR|APARELHOS|APRI506086|APLICADOR STRETCH SF-7608|PC
APR|APARELHOS|APRI506087|APLICADOR STRETCH SF-7542|PC
APR|APARELHOS|APRI506088|APLICADOR FITA GOMADA  ET-377|PC
APR|APARELHOS|APRI506089|APLICADOR FITA EX-191BK|PC
APR|APARELHOS|APRI608032|GRAMPEADOR PNEUMÁTICO MANUAL I|UN
APR|APARELHOS|APRN503029|DESENROLADOR THR-30 C/KIT 2 AROS|UN
MAQ|MAQUINAS|MAP|MÁQUINA P/ SOLDA DE AIR PADS|UN
MAQ|MAQUINAS|MAQI101001|MAQ AUTO P/FITA PP TP-101 MONOFÁSICA|UN
MAQ|MAQUINAS|MAQI101002|MAQ AUTO P/FITA PP TP-101 TRIFÁSICA 220/380V|UN
MAQ|MAQUINAS|MAQI101003|MAQ AUTO P/FITA PP TP-101 TRIFÁSICA 380V|UN
MAQ|MAQUINAS|MAQI101004|MAQ AUTO P/FITA PP TP-101 PR|UN
MAQ|MAQUINAS|MAQI101005|MAQ AUTO P/FITA PP AP-1000 EX|UN
MAQ|MAQUINAS|MAQI101006|MAQ AUTO P/FITA PP AM-650|UN
MAQ|MAQUINAS|MAQI201008|MAQ SEMI P/FITA PP TK-90|UN
MAQ|MAQUINAS|MAQI201009|MAQ SEMI P/FITA PP TP-90|UN
MAQ|MAQUINAS|MAQI201010|MAQ SEMI P/FITA PP ES-103|UN
MAQ|MAQUINAS|MAQI201011|MAQ SEMI P/FITA PP EX-105|UN
MAQ|MAQUINAS|MAQI102012|MAQ AUTO P/FITA PET CABEÇOTE MS-300|UN
MAQ|MAQUINAS|MAQI203012|MAQ SEMI AUTO P/STRETCH THR-1521|UN
MAQ|MAQUINAS|MAQI203013|MAQ SEMI AUTO P/STRETCH AP-300|UN
MAQ|MAQUINAS|MAQI204015|MAQ SEMI P/FITA ADESIVA THR-6601H|UN
MAQ|MAQUINAS|MAQI204017|MAQ SEMI P/FITA ADESIVA THR-6602H|UN
MAQ|MAQUINAS|MAQI101020|MÁQ AUTO P/FITA PP TK-118|UN
MAQ|MAQUINAS|MAQI201021|MÁQ SEMI P/ FITA PP TP-202|PC
MAQ|MAQUINAS|MAQI201019|MÁQ SEMI P/ FITA PP TK-92|UN
MAQ|MAQUINAS|MAQI102022|MÁQ AUTO P/ FITA PET CABEÇOTE GS-41|UN
MAQ|MAQUINAS|MAQI203014|MÁQ SEMI AUTO P/ STRETCH AP-200|UN
MAQ|MAQUINAS|MAQI203015|MÁQ SEMI AUTO P/ STRETCH AP-200 W|UN
MAQ|MAQUINAS|MAQI203016|MÁQ SEMI AUTO P/ STRETCH AP-300 W|UN
MAQ|MAQUINAS|MAQI203025|MÁQ SEMI AUTO P/ STRETCH ROBO MOBY|UN
MAQ|MAQUINAS|MAQI104026|MÁQ AUTO P/ FITA ADESIVA THR-5050Z|UN
MAQ|MAQUINAS|MAQI203027|MÁQ SEMI AUTO P/ STRETCH ONE WRAP L-15 EM V6|UN
MAQ|MAQUINAS|MAQI203028|MÁQ SEMI AUTO P/ STRETCH ONE WRAP L-15 V6|UN
MAQ|MAQUINAS|MAQI102029|MÁQ AUTO P/ FITA PET VR4-S GS41|UN
MAQ|MAQUINAS|MAQI101021|MÁQ AUTO P/FITA PP REVISADA|UN
MAQ|MAQUINAS|MAQI204018|MAQ SEMI P/FITA ADESIVA THR-5050H|UN
MAQ|MAQUINAS|MAQI203029|MÁQ SEMI AUTO P/ STRETCH WR-1|UN
MAQ|MAQUINAS|MAQI205001|MÁQ AIR PAD MINI AIR CLASI|UN
MAQ|MAQUINAS|MAQI201031|MÁQ SEMI P/ FITA PP TP-6000|UN
MAQ|MAQUINAS|MAQI201032|MÁQ SEMI P/ FITA PP SP-4|UN
MAQ|MAQUINAS|MAQI201033|MÁQ SEMI P/ FITA PP TP-201|UN
MAQ|MAQUINAS|MAQI205034|ENROLADOR DE MANTA NAC|UN
MAQ|MAQUINAS|MAQI201035|MÁQ SEMI P/ FITA PP EXS-206|UN
MAQ|MAQUINAS|MAQI104036|MAQ AUTO P/FITA ADESIVA THR-5050Q|UN
MAQ|MAQUINAS|MAQI204037|MÁQ SEMI P/ FITA ADESIVA THR-5050B|UN
MAQ|MAQUINAS|MAQI102038|MÁQ AUTO P/ FITA PET C/ ARCO GS-41N10 SEM0000014|UN
MAQ|MAQUINAS|MAQI101040|MÁQ AUTO P/FITA PP A-93|UN
MAQ|MAQUINAS|MAQI205040|MÁQUINA P/ SOLDA DE AIR PADS ONE AIR|UN
MAQ|MAQUINAS|MAQI201043|MÁQ SEMI P/ FITA PP EX-100|UN
MAQ|MAQUINAS|MAQN205040|MÁQUINA P/ SOLDA DE AIR PADS ONE AIR|UN
MAQ|MAQUINAS|MAQI102044|MAQ AUTO P/FITA PET CABEÇOTE TR-14 OMS|UN
MAQ|MAQUINAS|MAQI104018|MAQ SEMI P/FITA ADESIVA THR-6603|UN
MAQ|MAQUINAS|MAQI102045|MAQ AUTO P/FITA PET CABEÇOTE TR-18|UN
MAQ|MAQUINAS|MAQI203046|MAQ AUTO P/STRETCH AP-360|UN
MAQ|MAQUINAS|MAQI203047|MAQ AUTO P/STRETCH CS-301|UN
MAQ|MAQUINAS|MAQI203048|MAQ AUTO P/STRETCH CST-250|UN
MAQ|MAQUINAS|PMQN108046|BLOCO DE GUIA M303012 N|PC
MAQ|MAQUINAS|PMQI102049|MÁQ AUTO P/ FITA PET C/ VR-88|UN
MAQ|MAQUINAS|MAQI101050|MAQ AUTO P/FITA PP AM-600|UN
MAQ|MAQUINAS|MAQI203051|MAQ AUTO P/STRETCH TC-3000|UN
MAQ|MAQUINAS|MAQI204052|MÁQ SEMI P/ FITA ADESIVA THR-6050|UN
MAQ|MAQUINAS|MAQN202053|MÁQUINA VR-4 THR|PC
MAQ|MAQUINAS|MAQI205002|MÁQ MINI AIR PAD PRO|UN
MAQ|MAQUINAS|MAQN102012|MAQ AUTO P/FITA PET CABEÇOTE MS-300 NAC|UN
MAQ|MAQUINAS|MAQN102044|MAQ AUTO P/FITA PET CABEÇOTE TR-14 OMS NAC|UN
MAQ|MAQUINAS|PMQN122100|RODA 10-13 SBA0014647 N|PC
MAQ|MAQUINAS|MAQI201039|MÁQ SEMI NOVA P/ FITA|UN
MAQ|MAQUINAS|MAVN|SOPRADOR GAS|PC
MAQ|MAQUINAS|88288|BC818 - POLIETILENO DE BAIXA DENSIDADE|TO
MAQ|MAQUINAS|MAQI204053|MÁQ SEMI P/ FITA ADESIVA THR-8070B|UN
MAQ|MAQUINAS|MAQI204054|MÁQ SEMI P/ FITA ADESIVA THR-5050AS|UN
MAQ|MAQUINAS|MAQI102013|MÁQUINAS P/PRODUÇÃO|UN
MAQ|MAQUINAS|MAQI201012|MAQ AUTO P/FITA PET TP-733-H|UN
MAQ|MAQUINAS|MAVN222056|NUMERO RESIDENCIAL (74777)|UN
MAQ|MAQUINAS|MAQI203017|MAQ SEMI AUTO P/STRETCH AP-300|UN
MAQ|MAQUINAS|MAQI101054|MAQ AUTO P/FITA PP TP-702-59|UN
MAQ|MAQUINAS|MAQI101055|MAQ AUTO P/FITA PP COM ESTEIRA E PRENSA 5 MM TP-702C-M|UN
MAQ|MAQUINAS|MAQI102050|MAQ AUTO P/FITA PET TP-733-VTS|UN
MAQ|MAQUINAS|MAQI106001|BANCO DE PROVA MAQ. TRANSPACK TP-733-1-500000|UN
MAQ|MAQUINAS|129277|GTS SPECIAL GAS  240X48MM|UN
PMQ|PEÇAS E PARTES DE MAQ|PMQN101332|CABO DE ENTRADA 576804-A (NAC)|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101001|ANEL DISTANCIADOR 15X20X40 575219|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101002|ANEL DISTANCIADOR 15X20X785 575220|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101003|PINO DO BRAÇO DO MICRO 575256|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101004|BUCHA DA ALAVANCA DO MICRO 575258|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101005|EXAUSTOR DA RESISTÊNCIA 220V-240V 575591|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101006|EXAUSTOR DO MOTOR 575591-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101007|GRADE DE PROTEÇÃO 80 MM 575591-B|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101008|GRADE DE PROTEÇÃO 120 MM 575591-C|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101009|MICRO SWITH DA MESA TM 1702/631 575631|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101010|CONECTOR DOS RELES 575639|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101011|PROTEÇÃO DO MICRO 575655-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101012|PARAFUSO SEXTAVADO M8 X 55 575777|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101013|ARRUELA DE TRAVA 06 575896|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101014|ROLAMENTO AGULHA 575910|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101015|PÇ. INT. ROLAMENTO HK 2516 575920|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101016|PINO ELÁSTICO 4 X 40 575955|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101017|PINO ELÁSTICO 6 X 22 575961|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101018|PINO ELÁSTICO 6 X 24 575962|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101019|PINO ELÁSTICO 6 X 45 575963|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101020|PINO ELÁSTICO 6 X 75 575964|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101021|PINO ELÁSTICO 6 X 30 575965|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101022|PINO ELÁSTICO 8 X 20 575966|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101023|PINO ELÁSTICO 8 X 24 575967|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101024|CHAVETA 7 X 7 X 20 575979|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101025|CHAVETA 7 X 7 X 75 575980|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101026|CHAVETA 7 X 7 X 110 575981|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101027|CAPA DO MICRO DBA 200 575997|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101028|CORREIA MONTANHA AMARELA M-28 575998-B|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101029|ROLLER L.-214 576009|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101030|CORRENTE R-35 576010|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101031|CORRENTE R-35 ( SS 505/ TP 201) 576011|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101032|SENSOR 576015|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101033|CENTER BELT 576050-B|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101034|ROLLER L - 300 576053|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101035|ROLLER L 90-A 576055-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101036|ROLLER L -90-B 576055-B|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101037|ENGRENAGEM DO MOTOR 576064|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101038|ENGRENAGEM 3/8 576065|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101039|EXCENTRICO DA PLACA DESLIZADORA 576200|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101040|EXCENTRICO DO PRESSOR DIREITO 576201|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101041|EXCENTRICO PRESSÃO CENTRAL 576202|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101043|BUCHA DO EIXO DOS EXCENTRICOS 576204|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101042|EXCENTRICO DE TENSÃO 576203|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101044|BUCHA DISTANCIADORA 29 X 34 X 28 576205|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101045|EIXO DOS EXCENTRICOS 576206|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101046|DISCO FIM EIXO DOS EXCENTRICOS 576207|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101047|POLIA DOS SENSORES PROXIMIDADE 576208|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101048|REDUTOR TRIFÁSICO 576212-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101049|SUPORTE SENSORES DE PROXIMIDADE 576213|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101050|BUCHA DISTANCIADORA 29 X 34 X 10 576214|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101051|EXCENTRICO DO PRESSOR ESQUERDO 576215|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101052|EXCENTRICO DA RESISTÊNCIA 576216|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101053|BUCHA DISTANCIADORA 29 X 34 X 19 576217|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101054|BUCHA DUSTANCIADORA 29 X 34 X 5 576218|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101055|BUCHA DISTANCIADORA 29 X 24 X 7 576219|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101056|FREIO MAGNETICO 576223|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101057|DISCO DO FREIO MAGNETICO 0.8 576223-1|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101058|POLIA DO REDUTOR MONOFÁSICO 576224|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101059|POLIA DO REDUTOR TRIFÁSICO 576224-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101060|SUPORTE DE TRAVA DA EMBREAGEM 576225|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101061|EMBREAGEM ELETROMAGNETICA 576226|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101062|SUPORTE DA PLACA DESLIZANTE 576230|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101063|ALAVANCA DO SEPARADOR 576235|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101064|GUIA DA FITA DE 12MM/ 15MM 576236|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101065|BRAÇO DA GUIA DA FITA 9MM 576236-B|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101066|PLACA DESLIZANTE 9MM 576237-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101067|PLACA DESLIZANTE 12MM 576237-B|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101068|PLACA DESLIZANTE 15MM 576237-C|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101069|EIXO DA ALAVANCA DA PLACA DESLIZANTE 576238|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101070|BUCHA PARADA MESA DESLIZANTE 576239|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101071|AJUSTADOR TRASEIRO P. DESLIZANTE 576240|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101072|SUPORTE DA MOLA DA GUIA DE SAÍDA 576241|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101073|ARRUELA FINAL DO FREIO 576243|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101074|GANCHO MOLA MESA DESLIZANTE 576244|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101075|ROLO DE LEVA KR 22XLL 576247|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101076|MOLA TENSÃO PLACA DESLIZANTE 576248|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101077|BLOCO DO BRAÇO ESQUERDO 576260|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101078|BLOCO DO BRAÇO DIREITO 576261|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101079|BLOCO DO BRAÇO CENTRAL 576262|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101080|CORTADOR SUPERIOR 576263|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101081|PINO DO CORTADOR SUPERIOR 576264|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101082|PRENDEDOR TRASEIRO 576265|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101083|EIXO DOS PRESSORES 576266|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101084|PRESSOR UNIVERSAL 576267|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101085|CORTADOR INFERIOR 576268|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101086|PARAFUSO DA MOLA DO CORTADOR 576269|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101088|AJUSTADOR INFERIOR MODA DO EIXO 576271|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101089|GANCHO DA MOLA DO CORTADOR 576272|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101090|MOLA DE TENSÃO DO PRESSOR 576273|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101091|MOLA DE TENSÃO DO CORTADOR 576274|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101092|MOLA BLOCO CENTRAL ESQUERDO 576275|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101093|MOLA DO BLOCO DIREITO 576276|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101094|MOLA DO BRAÇO DO MICRO 576277|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101095|ALAVANCA DA RESISTÊNCIA 576290|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101096|CALÇO GUIA DESLIZANTE RESISTÊNCIA 576293|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101097|GUIA DESLIZANTE DA RESISTÊNCIA (B) DIR. 576294-A|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101098|GUIA DESLIZANTE DA RESISTÊNCIA (A) ESQ. 576294|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101099|EIXO DA ALAVANCA DA RESISTÊNCIA 576295|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101100|SUPORTE DO ROLAMENTO DA RESISTÊNCIA 576296|PC
PMQ|PEÇAS E PARTES DE MAQ|PMQI101101|PARAFUSO DO SUPORTE DO ROLAMENTO 576297|PC
